,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Coef.,S.E.,p-value,Coef.,S.E.,Coef.,S.E.
OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,458,"(5,3)",491,"(3,7)",479,"(3,7)",484,"(3,0)",489,"(2,4)",488,"(1,8)",479,"(1,6)",21,"(6,8)",-12,"(8,7)",-1,"(6,6)",-5,"(4,9)",-10,"(4,7)",-9,"(4,6)","2,3","(1,4)","0,094 ","-3,0","(0,7)","-0,2","(0,0)"
Lithuania,m,m,m,m,470,"(3,0)",468,"(2,4)",477,"(2,5)",472,"(2,7)",476,"(1,5)",m,m,m,m,6,"(6,2)",7,"(4,5)",-1,"(4,7)",3,"(5,0)","1,6","(1,4)","0,268 ","0,2","(0,8)","0,0","(0,1)"
Luxembourg,m,m,479,"(1,5)",479,"(1,3)",472,"(1,3)",488,"(1,5)",481,"(1,4)",470,"(1,1)",m,m,-9,"(8,0)",-9,"(5,5)",-2,"(3,9)",-18,"(4,2)",-11,"(4,3)","-0,7","(1,3)","0,576 ","-1,8","(0,3)","-0,1","(0,0)"
Mexico,422,"(3,3)",400,"(4,1)",410,"(3,1)",425,"(2,0)",424,"(1,5)",423,"(2,6)",420,"(2,7)",-1,"(5,9)",21,"(9,2)",10,"(6,7)",-5,"(4,9)",-3,"(4,9)",-3,"(5,4)","2,0","(1,3)","0,134 ","0,9","(0,6)","0,0","(0,0)"
Netherlands*,m,m,513,"(2,9)",507,"(2,9)",508,"(5,1)",511,"(3,5)",503,"(2,4)",485,"(2,7)",m,m,-28,"(8,7)",-22,"(6,6)",-24,"(6,8)",-26,"(5,7)",-18,"(5,3)","-4,3","(1,4)","0,002 ","-4,4","(1,0)","-0,2","(0,1)"
New Zealand,529,"(2,8)",522,"(2,5)",521,"(3,0)",521,"(2,4)",512,"(2,4)",509,"(2,4)",506,"(2,0)",-23,"(5,3)",-16,"(8,4)",-15,"(6,4)",-15,"(4,7)",-6,"(4,9)",-4,"(5,0)","-3,7","(1,3)","0,005 ","-1,5","(0,5)","0,0","(0,0)"
Norway,505,"(2,8)",500,"(2,8)",484,"(3,2)",503,"(2,6)",504,"(3,2)",513,"(2,5)",499,"(2,2)",-6,"(5,4)",0,"(8,5)",15,"(6,5)",-4,"(4,9)",-4,"(5,4)",-14,"(5,1)","1,0","(1,3)","0,429 ","1,4","(0,6)","0,1","(0,0)"
Poland,479,"(4,5)",497,"(2,9)",508,"(2,8)",500,"(2,6)",518,"(3,1)",506,"(2,5)",512,"(2,7)",33,"(6,6)",15,"(8,7)",4,"(6,5)",11,"(5,1)",-6,"(5,6)",6,"(5,4)","4,5","(1,4)","0,001 ","-1,4","(0,7)","-0,2","(0,0)"
Portugal*,470,"(4,5)",478,"(3,7)",472,"(3,6)",489,"(3,1)",488,"(3,8)",498,"(2,7)",492,"(2,4)",22,"(6,5)",14,"(9,0)",19,"(6,8)",2,"(5,3)",4,"(5,8)",-6,"(5,3)","4,3","(1,4)","0,002 ","0,8","(0,7)","0,0","(0,0)"
Slovak Republic,m,m,469,"(3,1)",466,"(3,1)",477,"(2,5)",463,"(4,2)",453,"(2,8)",458,"(2,2)",m,m,-11,"(8,7)",-8,"(6,5)",-19,"(4,9)",-5,"(6,0)",5,"(5,3)","-3,2","(1,4)","0,019 ","-2,4","(0,8)","-0,1","(0,1)"
Slovenia,m,m,m,m,494,"(1,0)",483,"(1,0)",481,"(1,2)",505,"(1,5)",495,"(1,2)",m,m,m,m,1,"(5,5)",12,"(3,9)",14,"(4,1)",-10,"(4,4)","2,4","(1,3)","0,062 ","3,5","(0,5)","0,2","(0,0)"
Spain**,493,"(2,7)",481,"(2,6)",461,"(2,2)",481,"(2,0)",488,"(1,9)",496,"(2,4)",m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Sweden,516,"(2,2)",514,"(2,4)",507,"(3,4)",497,"(2,9)",483,"(3,0)",500,"(3,5)",506,"(3,0)",-11,"(5,5)",-8,"(8,7)",-2,"(7,0)",8,"(5,5)",22,"(5,7)",6,"(6,1)","-3,0","(1,3)","0,024 ","2,6","(0,7)","0,2","(0,0)"
Switzerland,494,"(4,2)",499,"(3,3)",499,"(3,1)",501,"(2,4)",509,"(2,6)",492,"(3,0)",484,"(3,1)",-10,"(6,6)",-15,"(9,0)",-15,"(6,8)",-17,"(5,3)",-25,"(5,5)",-8,"(5,9)","-1,3","(1,4)","0,339 ","-3,7","(0,7)","-0,2","(0,0)"
Turkey,m,m,441,"(5,8)",447,"(4,2)",464,"(3,5)",475,"(4,2)",428,"(4,0)",466,"(2,2)",m,m,25,"(9,9)",18,"(7,1)",1,"(5,4)",-10,"(6,0)",37,"(6,0)","2,2","(1,6)","0,160 ","-2,3","(1,0)","-0,2","(0,1)"
United Kingdom,m,m,m,m,495,"(2,3)",494,"(2,3)",499,"(3,5)",498,"(2,8)",504,"(2,6)",m,m,m,m,9,"(6,3)",10,"(4,9)",5,"(5,7)",6,"(5,5)","2,1","(1,4)","0,137 ","1,5","(1,0)","0,1","(0,1)"
United States*,504,"(7,0)",495,"(3,2)",m,m,500,"(3,7)",498,"(3,7)",497,"(3,4)",505,"(3,6)",1,"(8,9)",10,"(9,1)",m,m,6,"(6,2)",8,"(6,4)",8,"(6,3)","0,2","(1,6)","0,916 ","1,7","(1,0)","0,1","(0,1)"
OECD average-23,500,"(0,7)",497,"(0,6)",495,"(0,7)",499,"(0,6)",501,"(0,6)",497,"(0,6)",493,"(0,5)",-7,"(4,1)",-5,"(7,8)",-3,"(5,3)",-7,"(3,6)",-9,"(3,8)",-4,"(4,0)","-0,5","(1,2)","0,672 ","-0,8","(0,1)","-0,03","(0,01)"
OECD average-27,494,"(0,8)",m,m,m,m,m,m,498,"(0,6)",495,"(0,5)",491,"(0,5)",-4,"(4,1)",m,m,m,m,m,m,-7,"(3,8)",-4,"(4,0)","0,0","(1,2)","0,997 ","-0,7","(0,1)","-0,04","(0,01)"
OECD average-29b,m,m,494,"(0,6)",m,m,m,m,498,"(0,5)",493,"(0,5)",490,"(0,5)",m,m,-4,"(7,8)",m,m,m,m,-9,"(3,8)",-3,"(4,0)","-0,7","(1,2)","0,598 ","-1,0","(0,1)","-0,05","(0,01)"
OECD average-35a,m,m,m,m,m,m,491,"(0,5)",493,"(0,5)",490,"(0,5)",487,"(0,4)",m,m,m,m,m,m,-4,"(3,6)",-6,"(3,8)",-3,"(4,0)","0,4","(1,2)","0,736 ","-0,7","(0,1)","-0,05","(0,01)"
OECD average-35b,m,m,m,m,486,"(0,6)",m,m,493,"(0,5)",490,"(0,5)",487,"(0,4)",m,m,m,m,1,"(5,3)",m,m,-7,"(3,8)",-3,"(4,0)","0,4","(1,2)","0,765 ","-0,8","(0,1)","-0,06","(0,01)"
OECD average-36a,m,m,m,m,m,m,m,m,493,"(0,5)",490,"(0,5)",487,"(0,4)",m,m,m,m,m,m,m,m,-6,"(3,8)",-3,"(4,0)","0,4","(1,2)","0,769 ","-0,7","(0,1)","-0,05","(0,01)"
Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,349,"(3,3)",m,m,m,m,385,"(4,0)",394,"(3,2)",405,"(4,1)",405,"(1,9)",57,"(5,6)",m,m,m,m,21,"(5,7)",11,"(5,3)",0,"(6,0)","10,5","(1,4)","0,000 ","1,1","(0,8)","-0,1","(0,0)"
Argentina,418,"(9,9)",m,m,374,"(7,2)",398,"(4,6)",396,"(3,7)",m,m,402,"(3,0)",-17,"(11,1)",m,m,28,"(9,4)",3,"(6,5)",6,"(6,0)",m,m,"-1,2","(2,0)","0,553 ","4,3","(1,2)","0,3","(0,1)"
Baku (Azerbaijan),m,m,m,m,m,m,m,m,m,m,m,m,389,"(2,5)",m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Belarus,m,m,m,m,m,m,m,m,m,m,m,m,474,"(2,4)",m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Bosnia and Herzegovina,m,m,m,m,m,m,m,m,m,m,m,m,403,"(2,9)",m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Brazil,396,"(3,1)",403,"(4,6)",393,"(3,7)",412,"(2,7)",407,"(2,0)",407,"(2,8)",413,"(2,1)",17,"(5,5)",10,"(9,3)",20,"(6,8)",1,"(4,9)",6,"(4,8)",6,"(5,2)","2,6","(1,3)","0,051 ","0,9","(0,6)","0,0","(0,0)"
Brunei Darussalam,m,m,m,m,m,m,m,m,m,m,m,m,408,"(0,9)",m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
B-S-J-Z (China),m,m,m,m,m,m,m,m,m,m,m,m,555,"(2,7)",m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Bulgaria,430,"(4,9)",m,m,402,"(6,9)",429,"(6,7)",436,"(6,0)",432,"(5,0)",420,"(3,9)",-11,"(7,5)",m,m,18,"(9,5)",-9,"(8,5)",-16,"(8,1)",-12,"(7,5)","0,8","(1,6)","0,598 ","0,4","(1,3)","0,0","(0,1)"
Costa Rica,m,m,m,m,m,m,443,"(3,2)",441,"(3,5)",427,"(2,6)",426,"(3,4)",m,m,m,m,m,m,-16,"(5,8)",-14,"(6,2)",-1,"(5,8)","-6,8","(2,1)","0,001 ",m,m,m,m
Croatia,m,m,m,m,477,"(2,8)",476,"(2,9)",485,"(3,3)",487,"(2,7)",479,"(2,7)",m,m,m,m,2,"(6,5)",3,"(5,3)",-6,"(5,7)",-8,"(5,5)","1,4","(1,5)","0,332 ","-1,3","(1,1)","-0,1","(0,1)"
Cyprus,m,m,m,m,m,m,m,m,449,"(1,2)",443,"(1,7)",424,"(1,4)",m,m,m,m,m,m,m,m,-25,"(4,2)",-18,"(4,5)","-12,2","(2,1)","0,000 ",m,m,m,m
Dominican Republic,m,m,m,m,m,m,m,m,m,m,358,"(3,1)",342,"(2,9)",m,m,m,m,m,m,m,m,m,m,-16,"(5,7)","-16,1","(5,7)","0,005 ",m,m,m,m
Georgia,m,m,m,m,m,m,374,"(2,9)",m,m,401,"(3,0)",380,"(2,2)",m,m,m,m,m,m,5,"(5,0)",m,m,-22,"(5,4)","3,5","(1,9)","0,061 ",m,m,m,m
Hong Kong (China)*,525,"(2,9)",510,"(3,7)",536,"(2,4)",533,"(2,1)",545,"(2,8)",527,"(2,7)",524,"(2,7)",-1,"(5,7)",15,"(9,0)",-12,"(6,4)",-9,"(4,9)",-20,"(5,4)",-2,"(5,5)","1,6","(1,4)","0,251 ","-4,0","(0,7)","-0,3","(0,0)"
Indonesia,371,"(4,0)",382,"(3,4)",393,"(5,9)",402,"(3,7)",396,"(4,2)",397,"(2,9)",371,"(2,6)",0,"(6,2)",-11,"(8,9)",-22,"(8,3)",-31,"(5,7)",-25,"(6,2)",-26,"(5,5)","1,2","(1,4)","0,403 ","-6,6","(0,9)","-0,4","(0,1)"
Jordan,m,m,m,m,401,"(3,3)",405,"(3,3)",399,"(3,6)",408,"(2,9)",419,"(2,9)",m,m,m,m,18,"(6,8)",14,"(5,7)",20,"(5,9)",11,"(5,7)","4,0","(1,6)","0,010 ","4,0","(1,2)","0,2","(0,1)"
Kazakhstan,m,m,m,m,m,m,390,"(3,1)",393,"(2,7)",m,m,387,"(1,5)",m,m,m,m,m,m,-4,"(4,9)",-6,"(4,8)",m,m,"-1,4","(1,6)","0,376 ",m,m,m,m
